Member_number,itemDescription,Date
2349,sausage,26-02-2015
1463,sausage,24-12-2015
3470,root vegetables,19-02-2015
4914,whole milk,29-11-2015
2448,frankfurter,31-08-2015
3387,soda,10/5/2015
3167,soda,4/11/2015
3175,frankfurter,17-03-2015
2678,berries,21-09-2015
4627,canned beer,18-12-2015
1773,frankfurter,17-10-2015
3100,frankfurter,23-05-2015
3232,berries,29-05-2015
3673,frankfurter,12/8/2015
4068,newspapers,19-11-2015
2340,frozen fish,7/10/2015
1930,tropical fruit,1/3/2015
3526,beef,2/6/2015
1617,rolls/buns,10/2/2015
1028,specialty chocolate,11/7/2015
4440,sparkling wine,1/12/2015
3554,citrus fruit,23-07-2015
1632,onions,15-12-2015
1429,whole milk,7/2/2015
1225,photo/film,20-05-2015
2509,hamburger meat,15-07-2015
4945,other vegetables,2/8/2015
4342,whole milk,18-03-2015
1832,pork,28-09-2015
1518,tropical fruit,21-06-2015
1512,chicken,20-09-2015
4818,other vegetables,20-03-2015
4686,sausage,19-08-2015
4986,whole milk,1/2/2015
2755,rolls/buns,6/2/2015
4532,hygiene articles,29-11-2015
2070,ice cream,16-08-2015
1894,curd,9/5/2015
3473,whole milk,25-01-2015
2140,onions,28-09-2015
3286,finished products,23-12-2015
4729,salt,8/4/2015
3204,tropical fruit,20-02-2015
1574,other vegetables,18-04-2015
3361,chocolate,22-07-2015
1776,ice cream,25-02-2015
2009,tropical fruit,11/10/2015
3479,frankfurter,24-03-2015
2394,butter,22-11-2015
1337,other vegetables,25-12-2015
3574,tropical fruit,13-06-2015
1727,citrus fruit,18-07-2015
1016,UHT-milk,5/10/2015
4326,beef,21-01-2015
2212,curd,22-09-2015
1990,citrus fruit,1/8/2015
3836,yogurt,6/12/2015
4560,bottled beer,1/7/2015
1119,grapes,4/2/2015
1379,pork,18-05-2015
1658,sausage,3/9/2015
2948,frankfurter,16-06-2015
1273,artif. sweetener,4/5/2015
1155,frankfurter,27-12-2015
1672,pip fruit,5/2/2015
3841,frankfurter,2/4/2015
1683,whole milk,20-08-2015
1774,domestic eggs,7/8/2015
4441,packaged fruit/vegetables,17-06-2015
1929,chicken,2/5/2015
1273,pork,31-01-2015
2920,citrus fruit,11/10/2015
2467,light bulbs,18-04-2015
2678,cream cheese ,28-11-2015
3423,sausage,2/6/2015
4223,citrus fruit,19-07-2015
2846,other vegetables,23-09-2015
4103,chicken,26-07-2015
4789,ice cream,2/5/2015
4916,pork,26-02-2015
2518,pork,3/5/2015
2622,onions,7/3/2015
4321,tropical fruit,29-01-2015
2050,whipped/sour cream,28-06-2015
2146,berries,20-06-2015
3938,berries,26-05-2015
1636,rolls/buns,19-09-2015
4694,ice cream,29-07-2015
2432,coffee,7/7/2015
4937,whole milk,18-05-2015
1293,whole milk,1/3/2015
2883,citrus fruit,17-02-2015
2267,beef,30-01-2015
3997,pork,9/6/2015
4792,turkey,20-07-2015
2292,margarine,25-03-2015
1018,butter milk,23-05-2015
4922,beef,13-02-2015
3151,bottled water,25-09-2015
2517,pip fruit,4/7/2015
1499,whole milk,17-05-2015
4993,chocolate,21-01-2015
1606,frankfurter,11/11/2015
2918,whole milk,10/8/2015
1815,sausage,13-01-2015
4524,grapes,5/7/2015
1395,brown bread,11/6/2015
3456,root vegetables,16-06-2015
1597,UHT-milk,5/2/2015
2315,onions,2/5/2015
4095,beef,29-09-2015
3680,pork,24-11-2015
2847,canned beer,23-11-2015
3426,yogurt,25-10-2015
4750,yogurt,4/8/2015
1384,pip fruit,9/8/2015
3120,meat,9/8/2015
1081,coffee,25-04-2015
1171,bottled water,5/5/2015
4932,bottled beer,8/7/2015
4189,sausage,11/9/2015
4455,shopping bags,9/9/2015
2928,pork,11/2/2015
4817,frankfurter,18-03-2015
4257,ice cream,28-06-2015
4254,root vegetables,20-07-2015
4071,sausage,19-09-2015
2109,sausage,28-10-2015
1412,root vegetables,5/7/2015
4088,canned vegetables,23-09-2015
4056,tropical fruit,20-10-2015
4441,grapes,5/5/2015
4363,whole milk,1/7/2015
2107,frankfurter,27-11-2015
2941,dessert,23-02-2015
1497,shopping bags,26-07-2015
2211,butter,1/1/2015
3510,frankfurter,2/1/2015
4074,pork,27-05-2015
3190,whole milk,21-11-2015
2297,brown bread,1/3/2015
3311,frozen fish,1/7/2015
3085,soda,21-01-2015
3693,whole milk,16-11-2015
4859,pork,7/7/2015
2125,whipped/sour cream,25-06-2015
2261,frankfurter,4/4/2015
3679,grapes,27-11-2015
4165,sausage,18-08-2015
3538,citrus fruit,1/3/2015
3913,ham,19-02-2015
2336,chewing gum,14-04-2015
3549,beef,1/8/2015
4434,beef,21-09-2015
2854,other vegetables,8/2/2015
3413,frankfurter,8/2/2015
1780,canned fish,13-10-2015
2899,sausage,6/9/2015
2106,bottled water,13-08-2015
3929,specialty cheese,30-07-2015
3857,bottled water,1/10/2015
4459,bottled water,18-12-2015
4551,chicken,28-07-2015
4042,frankfurter,17-12-2015
2599,chicken,6/5/2015
1045,chicken,25-11-2015
4677,butter,24-01-2015
1580,citrus fruit,14-06-2015
3269,whipped/sour cream,7/10/2015
4368,frankfurter,29-01-2015
1111,beef,20-11-2015
4841,chicken,13-09-2015
3047,sausage,7/9/2015
4349,citrus fruit,14-03-2015
3580,ice cream,24-11-2015
2370,specialty chocolate,18-07-2015
3094,frankfurter,28-06-2015
1146,pork,12/9/2015
2287,UHT-milk,16-12-2015
3911,UHT-milk,23-08-2015
4891,cookware,19-04-2015
4837,citrus fruit,2/12/2015
4464,sausage,21-10-2015
2940,frankfurter,18-10-2015
4972,citrus fruit,6/2/2015
4890,ham,3/7/2015
4295,ham,17-07-2015
2729,bottled water,24-09-2015
1125,popcorn,19-11-2015
1850,tropical fruit,11/1/2015
2928,frankfurter,22-09-2015
3717,hamburger meat,30-05-2015
3809,soda,24-03-2015
3437,sausage,2/2/2015
1481,yogurt,17-01-2015
1050,meat,4/5/2015
2918,red/blush wine,16-03-2015
4499,UHT-milk,8/8/2015
4117,brown bread,6/1/2015
1630,semi-finished bread,22-05-2015
3715,whole milk,11/5/2015
3512,cat food,17-11-2015
1197,citrus fruit,27-04-2015
3958,citrus fruit,4/3/2015
4890,meat,14-09-2015
3112,rolls/buns,19-05-2015
4502,root vegetables,22-11-2015
4719,tropical fruit,1/6/2015
1516,brown bread,28-01-2015
4281,shopping bags,18-10-2015
1566,grapes,30-04-2015
4641,ham,29-11-2015
2561,root vegetables,26-02-2015
2344,ice cream,17-12-2015
2643,tropical fruit,21-04-2015
3236,finished products,9/4/2015
4863,dessert,30-12-2015
2264,sparkling wine,12/1/2015
3168,other vegetables,20-03-2015
1282,misc. beverages,18-11-2015
2832,other vegetables,2/11/2015
3067,misc. beverages,27-11-2015
1847,dessert,17-04-2015
3525,frankfurter,14-02-2015
1231,sausage,14-10-2015
3471,meat,28-03-2015
2421,sausage,22-11-2015
4092,onions,14-06-2015
1577,beef,16-03-2015
3463,pip fruit,13-06-2015
3518,ham,1/8/2015
4325,yogurt,14-10-2015
4947,citrus fruit,18-11-2015
2194,other vegetables,11/1/2015
2868,pork,20-03-2015
3211,bathroom cleaner,30-09-2015
4537,ham,1/1/2015
2243,grapes,15-09-2015
2399,pastry,21-01-2015
4133,citrus fruit,22-01-2015
2937,photo/film,17-06-2015
1029,dessert,14-03-2015
4384,citrus fruit,22-09-2015
3756,soda,22-07-2015
1646,chewing gum,19-06-2015
3066,root vegetables,30-11-2015
1259,pork,27-11-2015
2245,turkey,28-01-2015
3289,tropical fruit,1/3/2015
3742,sausage,22-08-2015
4537,sausage,9/4/2015
4531,pork,29-09-2015
3764,sausage,5/10/2015
1581,grapes,13-08-2015
2859,grapes,11/2/2015
2175,other vegetables,6/3/2015
1301,pot plants,3/11/2015
3465,bottled water,1/11/2015
2203,prosecco,27-06-2015
2113,UHT-milk,16-08-2015
3072,bottled water,26-01-2015
2805,rolls/buns,17-08-2015
2511,specialty chocolate,14-07-2015
2120,beef,26-01-2015
2346,tropical fruit,24-04-2015
2071,beef,14-10-2015
2610,rolls/buns,26-02-2015
3489,berries,18-11-2015
3458,sausage,13-08-2015
4869,chicken,6/2/2015
2580,sausage,11/4/2015
3305,shopping bags,24-06-2015
3811,canned beer,24-06-2015
1782,soda,16-08-2015
3050,yogurt,7/4/2015
4924,rolls/buns,14-09-2015
1480,rolls/buns,21-11-2015
3508,whole milk,15-08-2015
2545,citrus fruit,18-11-2015
3638,citrus fruit,6/6/2015
3971,brown bread,30-12-2015
4536,tropical fruit,6/4/2015
2707,frankfurter,12/6/2015
1382,coffee,29-09-2015
4648,ham,14-09-2015
2699,other vegetables,18-04-2015
3119,sausage,5/2/2015
4695,pork,9/9/2015
4778,citrus fruit,24-08-2015
3451,tropical fruit,26-04-2015
2221,other vegetables,16-12-2015
4217,pork,23-11-2015
1334,chicken,7/6/2015
2499,root vegetables,22-11-2015
3585,citrus fruit,21-07-2015
3161,fruit/vegetable juice,8/11/2015
2434,beef,6/6/2015
4448,frankfurter,6/1/2015
4597,frankfurter,13-07-2015
4584,beef,9/10/2015
1606,ham,10/3/2015
3323,shopping bags,12/11/2015
1308,pork,14-03-2015
1331,condensed milk,7/10/2015
2386,chicken,30-01-2015
3910,sausage,28-02-2015
4274,bottled beer,1/8/2015
3101,chicken,21-01-2015
4416,finished products,23-12-2015
2375,pork,9/12/2015
1819,root vegetables,9/9/2015
3981,domestic eggs,2/10/2015
3553,domestic eggs,1/6/2015
3846,bottled water,28-01-2015
3037,cling film/bags,23-02-2015
3469,other vegetables,9/2/2015
1601,whole milk,9/12/2015
4040,sausage,3/3/2015
3926,sausage,7/6/2015
4201,tropical fruit,14-10-2015
4274,frankfurter,30-09-2015
2665,frozen potato products,13-04-2015
3153,frankfurter,8/10/2015
2691,frankfurter,7/9/2015
4022,chicken,31-07-2015
3716,tropical fruit,10/11/2015
4537,bottled beer,12/10/2015
4875,citrus fruit,11/6/2015
3822,hamburger meat,25-09-2015
3609,chicken,12/12/2015
4428,pork,23-08-2015
3947,rolls/buns,16-04-2015
2448,bottled water,17-08-2015
2688,sausage,11/4/2015
3764,frozen potato products,24-07-2015
4523,frankfurter,24-08-2015
3698,sausage,30-08-2015
3898,tropical fruit,21-08-2015
1761,bottled beer,2/10/2015
2689,bottled beer,11/1/2015
1627,rolls/buns,11/4/2015
4629,citrus fruit,16-11-2015
2790,yogurt,30-12-2015
4496,turkey,23-01-2015
1934,soda,27-02-2015
2513,canned beer,12/2/2015
3298,canned beer,28-01-2015
4214,sausage,20-03-2015
2480,pork,14-08-2015
4962,Instant food products,29-03-2015
3960,frankfurter,20-06-2015
2074,oil,23-01-2015
2625,chicken,3/10/2015
1557,beef,4/8/2015
2007,dessert,28-08-2015
2120,pork,7/10/2015
4289,curd,8/9/2015
2356,chicken,31-01-2015
4301,whipped/sour cream,30-09-2015
2950,frankfurter,7/2/2015
2263,frankfurter,2/7/2015
3186,liver loaf,25-11-2015
2655,pork,1/7/2015
1491,frankfurter,18-06-2015
2069,pork,10/2/2015
3012,pork,20-09-2015
2681,soda,24-02-2015
4144,root vegetables,6/11/2015
3919,whipped/sour cream,7/10/2015
2777,chocolate,1/6/2015
4119,whole milk,9/5/2015
3597,pork,23-06-2015
2110,coffee,15-05-2015
3523,rolls/buns,19-04-2015
3364,citrus fruit,14-09-2015
3759,citrus fruit,8/9/2015
4014,soda,15-11-2015
3140,cream cheese ,27-08-2015
2787,soda,24-06-2015
2525,chicken,16-11-2015
2555,frozen fish,5/12/2015
2419,sausage,7/4/2015
4257,beef,21-08-2015
4267,ham,16-06-2015
2364,chicken,8/9/2015
4008,herbs,4/5/2015
1231,grapes,28-06-2015
1651,tropical fruit,6/5/2015
1371,frankfurter,11/5/2015
2501,onions,9/9/2015
1467,sausage,2/5/2015
1015,citrus fruit,4/5/2015
4697,hamburger meat,10/2/2015
2727,frankfurter,30-09-2015
3592,sausage,10/6/2015
1279,root vegetables,19-07-2015
1708,oil,2/4/2015
2305,canned beer,5/1/2015
3294,newspapers,3/7/2015
4147,pip fruit,16-09-2015
3850,coffee,3/9/2015
1624,red/blush wine,22-12-2015
3023,onions,6/5/2015
2771,frankfurter,26-08-2015
1144,meat,1/4/2015
3938,whole milk,18-05-2015
4180,dessert,7/9/2015
1053,hamburger meat,9/7/2015
2671,chewing gum,27-07-2015
2001,bottled water,9/9/2015
2095,beverages,29-09-2015
3245,whole milk,8/12/2015
4878,citrus fruit,18-04-2015
3489,tropical fruit,9/3/2015
3300,cat food,25-07-2015
3090,whole milk,14-02-2015
4441,soda,18-02-2015
1242,sausage,18-05-2015
1190,root vegetables,11/6/2015
1983,berries,6/7/2015
1872,other vegetables,24-08-2015
4291,sausage,9/12/2015
4400,beverages,11/12/2015
1628,chicken,5/2/2015
1345,whole milk,21-03-2015
2732,sausage,2/4/2015
3410,ham,29-10-2015
1920,whole milk,9/2/2015
3241,root vegetables,20-09-2015
2962,citrus fruit,26-04-2015
2492,frankfurter,10/4/2015
2416,ice cream,5/11/2015
1538,sausage,8/3/2015
3801,root vegetables,23-10-2015
3202,ham,29-09-2015
4471,coffee,28-02-2015
4939,citrus fruit,14-10-2015
2575,pot plants,13-03-2015
4419,other vegetables,23-12-2015
4217,whole milk,1/12/2015
1968,zwieback,10/1/2015
3084,chicken,12/8/2015
4807,butter,18-06-2015
4781,ham,22-11-2015
2432,whole milk,6/10/2015
2951,citrus fruit,5/9/2015
1452,ham,9/5/2015
1603,canned beer,23-07-2015
4727,frankfurter,21-11-2015
4751,chicken,19-11-2015
4296,frankfurter,24-01-2015
2555,bottled beer,11/11/2015
1416,other vegetables,20-06-2015
1919,frozen potato products,18-08-2015
2069,chicken,2/7/2015
4509,sausage,23-07-2015
4864,canned beer,22-07-2015
1575,yogurt,4/1/2015
2969,frozen meals,28-09-2015
4301,canned fruit,20-12-2015
3855,butter,2/12/2015
3202,yogurt,16-04-2015
2167,citrus fruit,14-03-2015
4148,meat,7/1/2015
2517,root vegetables,28-01-2015
2840,frankfurter,24-03-2015
1212,tropical fruit,19-06-2015
2735,yogurt,1/6/2015
1212,root vegetables,31-07-2015
1324,yogurt,26-03-2015
2431,oil,29-06-2015
4526,citrus fruit,8/6/2015
1662,beef,12/6/2015
3802,citrus fruit,15-10-2015
2532,dessert,8/1/2015
1316,curd,26-03-2015
2304,bottled water,1/7/2015
1955,sausage,13-02-2015
2243,herbs,31-01-2015
3859,dog food,3/8/2015
3156,packaged fruit/vegetables,2/8/2015
4605,frankfurter,23-10-2015
1864,finished products,27-09-2015
4102,oil,13-05-2015
4835,curd,22-05-2015
1668,herbs,14-03-2015
3130,sausage,2/5/2015
1110,whole milk,20-11-2015
2240,sausage,7/7/2015
4647,soda,17-02-2015
3872,whole milk,7/2/2015
3184,root vegetables,24-10-2015
4623,sugar,8/7/2015
2111,cream cheese ,25-02-2015
3068,other vegetables,19-06-2015
4533,frozen fruits,21-05-2015
3926,whipped/sour cream,30-06-2015
1605,yogurt,18-06-2015
4468,pork,15-06-2015
2041,grapes,24-09-2015
3835,whole milk,11/5/2015
3601,sausage,3/2/2015
2307,canned beer,29-06-2015
1767,meat,18-04-2015
4251,soda,21-12-2015
1365,bottled beer,2/11/2015
1665,whole milk,11/4/2015
2447,chicken,25-06-2015
4825,pip fruit,5/9/2015
4844,pork,23-02-2015
3319,oil,3/3/2015
2536,whole milk,7/11/2015
1857,pip fruit,10/8/2015
4133,root vegetables,27-07-2015
2128,ham,20-06-2015
1793,ice cream,24-09-2015
3445,sausage,15-02-2015
2041,detergent,17-07-2015
1178,oil,23-03-2015
2080,tropical fruit,21-04-2015
1928,photo/film,17-09-2015
2884,UHT-milk,8/5/2015
3532,meat,25-01-2015
1892,grapes,20-11-2015
2880,liver loaf,3/11/2015
2033,beef,14-02-2015
3176,root vegetables,17-01-2015
3768,pork,16-01-2015
3404,butter milk,7/12/2015
3891,brown bread,22-11-2015
2974,herbs,26-12-2015
3831,newspapers,7/3/2015
1924,brandy,2/3/2015
4182,pastry,21-08-2015
1811,beverages,24-05-2015
1283,UHT-milk,13-11-2015
2154,cream cheese ,15-03-2015
4543,rolls/buns,23-10-2015
4642,rolls/buns,3/12/2015
2360,rolls/buns,18-02-2015
3231,sausage,31-03-2015
1356,hard cheese,8/9/2015
4895,canned beer,10/8/2015
3390,canned beer,1/12/2015
4495,citrus fruit,6/3/2015
1202,yogurt,22-04-2015
1811,yogurt,23-09-2015
4996,salty snack,20-02-2015
3291,tropical fruit,2/8/2015
1878,citrus fruit,27-11-2015
1483,rolls/buns,27-06-2015
4683,whipped/sour cream,23-09-2015
4386,citrus fruit,8/9/2015
4825,butter milk,15-11-2015
2549,other vegetables,13-05-2015
4965,canned beer,11/10/2015
3251,soda,10/9/2015
4932,tropical fruit,20-11-2015
3986,coffee,23-07-2015
1616,ham,19-01-2015
1239,whipped/sour cream,2/7/2015
4993,citrus fruit,9/2/2015
2762,dessert,18-12-2015
1035,whole milk,8/9/2015
4717,canned beer,16-05-2015
4662,rolls/buns,17-11-2015
4267,fish,10/10/2015
3500,meat,18-01-2015
4866,sausage,21-08-2015
2492,other vegetables,18-06-2015
1044,tropical fruit,9/2/2015
2070,baby cosmetics,19-12-2015
3761,citrus fruit,6/8/2015
1145,tropical fruit,7/10/2015
3324,spices,6/6/2015
4455,sausage,26-12-2015
3465,sausage,30-07-2015
3940,beef,16-01-2015
4934,canned beer,31-10-2015
3793,canned beer,22-01-2015
2956,rolls/buns,2/12/2015
3662,whole milk,20-07-2015
3755,root vegetables,14-04-2015
4173,yogurt,11/5/2015
3353,onions,6/3/2015
2193,hamburger meat,3/9/2015
2086,napkins,2/6/2015
1570,other vegetables,20-03-2015
1233,chicken,31-07-2015
4647,meat,30-01-2015
3178,rolls/buns,3/1/2015
2765,butter,4/9/2015
4221,sausage,4/1/2015
4265,rolls/buns,12/12/2015
3532,other vegetables,26-05-2015
1967,frankfurter,3/9/2015
3474,newspapers,25-02-2015
4075,turkey,5/1/2015
1551,onions,11/5/2015
4609,whole milk,7/11/2015
1975,yogurt,26-09-2015
4859,whipped/sour cream,9/9/2015
1502,frozen vegetables,31-10-2015
1901,citrus fruit,21-04-2015
4487,onions,20-07-2015
3364,sausage,29-06-2015
2537,other vegetables,14-10-2015
4719,frankfurter,22-08-2015
2348,domestic eggs,11/12/2015
4294,rolls/buns,3/12/2015
3774,bottled beer,12/1/2015
2250,waffles,15-10-2015
3034,condensed milk,7/5/2015
1799,canned beer,7/8/2015
1278,meat,7/11/2015
2837,whole milk,22-04-2015
3056,liver loaf,15-08-2015
2447,frankfurter,15-10-2015
1452,chicken,27-10-2015
4838,frankfurter,31-01-2015
4822,pip fruit,4/7/2015
2571,root vegetables,2/5/2015
4310,pip fruit,27-02-2015
2133,pork,11/7/2015
3568,other vegetables,17-10-2015
4474,pastry,10/11/2015
3354,sausage,27-01-2015
2389,processed cheese,4/6/2015
1742,napkins,5/7/2015
2574,meat,18-05-2015
4498,pastry,7/4/2015
4612,sausage,30-04-2015
1075,pip fruit,29-01-2015
1371,frozen vegetables,22-01-2015
2960,citrus fruit,21-06-2015
4434,other vegetables,23-02-2015
1378,frankfurter,12/10/2015
1615,sausage,25-01-2015
2503,beef,8/2/2015
2381,hamburger meat,1/4/2015
1613,yogurt,25-08-2015
1031,beverages,26-08-2015
3200,whole milk,1/4/2015
1138,rolls/buns,24-02-2015
4958,tropical fruit,24-05-2015
4858,citrus fruit,15-02-2015
1616,whole milk,8/12/2015
1270,citrus fruit,3/2/2015
2347,soda,27-01-2015
2076,frankfurter,4/12/2015
3597,sausage,7/7/2015
2151,napkins,29-09-2015
2940,yogurt,7/11/2015
3475,herbs,14-12-2015
2715,sausage,15-03-2015
3644,yogurt,2/10/2015
4573,pork,25-01-2015
1649,curd,29-11-2015
4079,frankfurter,17-08-2015
1844,frankfurter,13-11-2015
1420,curd,8/12/2015
2879,liver loaf,23-07-2015
2440,pork,8/6/2015
4095,specialty bar,29-12-2015
2437,ice cream,15-11-2015
1324,specialty bar,24-01-2015
4184,yogurt,15-12-2015
4574,frozen vegetables,3/10/2015
4881,rolls/buns,26-03-2015
3790,pastry,4/8/2015
2616,pork,17-03-2015
1275,curd,4/6/2015
2131,beef,15-04-2015
2509,yogurt,3/2/2015
3077,chicken,31-08-2015
3653,detergent,12/9/2015
2922,pip fruit,26-12-2015
2971,coffee,27-01-2015
1463,tropical fruit,28-09-2015
4323,sauces,11/10/2015
2632,pork,1/7/2015
1481,yogurt,4/6/2015
1283,napkins,6/3/2015
1164,other vegetables,1/2/2015
4275,chicken,11/9/2015
2600,pork,18-02-2015
2084,root vegetables,15-08-2015
1621,ham,20-02-2015
1291,whole milk,6/3/2015
3301,soda,25-04-2015
2715,rolls/buns,8/1/2015
4150,tropical fruit,26-08-2015
1775,tropical fruit,11/10/2015
2073,sausage,4/2/2015
1912,bottled beer,22-08-2015
4033,turkey,6/6/2015
4877,meat,28-02-2015
2590,whole milk,28-09-2015
3982,soda,28-01-2015
2782,rolls/buns,9/6/2015
2100,dessert,27-01-2015
1785,sausage,21-12-2015
3166,pork,28-04-2015
2251,hamburger meat,29-03-2015
1528,sausage,20-02-2015
2012,rolls/buns,29-03-2015
3309,misc. beverages,28-10-2015
1220,pastry,8/9/2015
2165,soda,17-06-2015
3337,whole milk,1/2/2015
4058,domestic eggs,30-12-2015
1000,soda,27-05-2015
3357,pip fruit,8/6/2015
2222,yogurt,8/1/2015
1207,frankfurter,14-11-2015
3511,specialty chocolate,7/6/2015
2171,sausage,2/8/2015
3078,oil,1/9/2015
3879,tropical fruit,25-06-2015
3472,citrus fruit,6/2/2015
4519,napkins,3/11/2015
3275,whole milk,26-10-2015
1763,coffee,13-09-2015
4619,tropical fruit,27-05-2015
2955,canned beer,5/6/2015
2700,bottled beer,15-11-2015
2830,canned beer,28-05-2015
4940,rum,21-08-2015
1311,rolls/buns,29-06-2015
4116,pastry,1/5/2015
1476,whole milk,22-03-2015
2918,grapes,4/11/2015
4121,whole milk,1/11/2015
1824,yogurt,1/11/2015
4293,root vegetables,5/7/2015
4308,pastry,5/12/2015
2998,canned beer,14-07-2015
2874,sausage,5/1/2015
1281,tropical fruit,11/2/2015
3471,frankfurter,14-01-2015
1936,rolls/buns,15-08-2015
4163,frankfurter,30-05-2015
3369,sausage,29-12-2015
2335,whole milk,13-01-2015
3957,whole milk,15-02-2015
4841,whole milk,2/5/2015
2184,ham,7/12/2015
3118,whole milk,29-12-2015
4728,beef,25-04-2015
2527,domestic eggs,11/8/2015
2926,soda,8/11/2015
1773,whole milk,1/11/2015
1801,ham,12/6/2015
1916,curd,13-11-2015
2523,bottled water,4/4/2015
2550,butter milk,8/6/2015
1319,pork,19-05-2015
1649,pork,16-05-2015
2202,turkey,7/8/2015
2569,cream cheese ,16-07-2015
2925,tropical fruit,22-08-2015
2293,rolls/buns,24-06-2015
2190,citrus fruit,11/10/2015
2234,frankfurter,24-12-2015
4779,whipped/sour cream,24-10-2015
3031,tropical fruit,27-10-2015
4275,frankfurter,5/7/2015
2696,sausage,9/5/2015
4453,sausage,2/8/2015
4776,sausage,8/2/2015
3471,sliced cheese,12/10/2015
3143,candy,21-01-2015
4312,tropical fruit,22-04-2015
3327,pip fruit,4/5/2015
4344,citrus fruit,6/5/2015
1718,hamburger meat,11/3/2015
3041,other vegetables,10/7/2015
4110,nuts/prunes,6/2/2015
2947,ham,28-04-2015
4280,ham,6/12/2015
3022,butter,15-11-2015
1941,napkins,16-09-2015
4494,beef,6/8/2015
2749,frankfurter,22-06-2015
1241,meat,22-05-2015
2066,whole milk,23-03-2015
1777,sausage,11/7/2015
2178,sausage,3/5/2015
4727,rolls/buns,11/4/2015
3433,root vegetables,1/10/2015
3035,sausage,8/11/2015
1464,sausage,7/3/2015
4161,meat,3/5/2015
2654,sausage,25-11-2015
2206,citrus fruit,21-03-2015
3950,chocolate,5/12/2015
1706,coffee,7/3/2015
3726,sausage,26-05-2015
3325,beef,29-11-2015
3732,berries,29-11-2015
2563,frozen meals,6/1/2015
4924,beef,1/3/2015
1742,sausage,12/12/2015
4929,rolls/buns,27-07-2015
1092,frankfurter,9/10/2015
1907,sausage,19-07-2015
3540,pip fruit,5/3/2015
2990,grapes,11/7/2015
